Index,Codul candidatului,Poziţia în ierarhia Evaluare Națională 2025,Școala de proveniență,Limba şi literatura română - Notă,Limba şi literatura română - Contestație,Limba şi literatura română - Notă finală,Matematică - Notă,Matematică - Contestație,Matematică - Notă finală,Limba şi literatura maternă - Denumire,Limba şi literatura maternă - Notă,Limba şi literatura maternă - Contestație,Limba şi literatura maternă - Notă finală,Media la evaluarea națională
1,TM10000575,5214,ȘCOALA GIMNAZIALĂ LIEBLING,1.90,-,-,1.50,-,-,-,-,-,-,1.70
2,TM10001087,3776,"LICEUL TEOLOGIC ORTODOX ""SFÂNTUL ANTIM IVIREANUL"" TIMIȘOARA",7.05,-,-,4.50,-,-,-,-,-,-,5.77
3,TM10001308,2646,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,7.70,-,-,6.80,-,-,-,-,-,-,7.25
4,TM10001672,5238,"ȘCOALA GIMNAZIALĂ ""ING. ANGHEL SALIGNY"" BANLOC",Absent,-,-,Absent,-,-,-,-,-,-,Absent
5,TM10007919,4548,"ȘCOALA GIMNAZIALĂ ""EFTIMIE MURGU"" LUGOJ",5.35,-,-,3.85,-,-,-,-,-,-,4.60
6,TM10008590,3493,"LICEUL TEORETIC ""IULIA HAȘDEU"" LUGOJ",6.20,-,-,6.10,-,-,-,-,-,-,6.15
7,TM10013465,5177,ȘCOALA GIMNAZIALĂ PIETROASA,1.80,-,-,3.00,-,-,-,-,-,-,2.40
8,TM10013812,4698,ȘCOALA GIMNAZIALĂ BETHAUSEN,5.10,-,-,3.50,-,-,-,-,-,-,4.30
9,TM10020025,4610,ȘCOALA GIMNAZIALĂ PIETROASA,4.50,-,-,4.50,-,-,-,-,-,-,4.50
10,TM10023181,483,ȘCOALA GIMNAZIALĂ NR.2 TIMIȘOARA,9.70,-,-,8.85,-,-,-,-,-,-,9.27
11,TM10023570,1175,LICEUL TEOLOGIC BAPTIST TIMIȘOARA,8.70,-,-,8.70,-,-,-,-,-,-,8.70
12,TM10045146,3783,ȘCOALA GIMNAZIALĂ NR.2 LUGOJ,5.65,-,-,5.90,-,-,-,-,-,-,5.77
13,TM10047085,2540,ȘCOALA GIMNAZIALĂ NR.25 TIMIȘOARA,8.00,-,-,6.75,-,-,-,-,-,-,7.37
14,TM10057369,5239,"ȘCOALA GIMNAZIALĂ ""GEORGE GÂRDA"" MĂNĂȘTIUR",Absent,-,-,Absent,-,-,-,-,-,-,Absent
15,TM10068755,2703,ȘCOALA GIMNAZIALĂ NR.18 TIMIȘOARA,6.95,-,-,7.40,-,-,-,-,-,-,7.17
16,TM10073242,1635,"LICEUL TEORETIC ""CORIOLAN BREDICEANU"" LUGOJ",8.45,-,-,8.20,-,-,-,-,-,-,8.32
17,TM10073953,3423,"ȘCOALA GIMNAZIALĂ ""EFTIMIE MURGU"" LUGOJ",6.15,-,-,6.35,-,-,-,-,-,-,6.25
18,TM10074162,1893,"ȘCOALA GIMNAZIALĂ ""ANIȘOARA ODEANU"" LUGOJ",7.95,-,-,8.20,-,-,-,-,-,-,8.07
19,TM10074471,3048,"ȘCOALA GIMNAZIALĂ ""ANIȘOARA ODEANU"" LUGOJ",7.30,-,-,6.15,-,-,-,-,-,-,6.72
20,TM10074607,4495,ȘCOALA GIMNAZIALĂ BETHAUSEN,5.90,-,-,3.50,-,-,-,-,-,-,4.70
21,TM10075034,1166,"ȘCOALA GIMNAZIALĂ ""ANIȘOARA ODEANU"" LUGOJ",9.10,-,-,8.30,-,-,-,-,-,-,8.70
22,TM10076418,4211,ȘCOALA GIMNAZIALĂ NR.4 LUGOJ,5.70,-,-,4.65,-,-,-,-,-,-,5.17
23,TM10079522,3886,ȘCOALA GIMNAZIALĂ UTVIN,5.75,-,-,5.50,-,-,-,-,-,-,5.62
24,TM10080332,2172,ȘCOALA GIMNAZIALĂ UTVIN,8.50,-,-,7.05,-,-,-,-,-,-,7.77
25,TM10080757,212,ȘCOALA GIMNAZIALĂ UTVIN,9.70,-,-,9.40,-,-,-,-,-,-,9.55
26,TM10081067,4581,LICEUL TEORETIC GĂTAIA,5.05,-,-,4.05,-,-,-,-,-,-,4.55
27,TM10081303,3333,LICEUL TEORETIC GĂTAIA,7.65,-,-,5.05,-,-,-,-,-,-,6.35
28,TM10081363,5240,ȘCOALA GIMNAZIALĂ UTVIN,Absent,-,-,Absent,-,-,-,-,-,-,Absent
29,TM10081719,3686,"ȘCOALA GIMNAZIALĂ NR.7 ""SFÂNTA MARIA"" TIMIȘOARA",6.55,-,-,5.25,-,-,-,-,-,-,5.90
30,TM10081734,3083,ȘCOALA GIMNAZIALĂ UTVIN,8.15,-,-,5.20,-,-,-,-,-,-,6.67
31,TM10081885,1739,ȘCOALA GIMNAZIALĂ UTVIN,9.05,-,-,7.35,-,-,-,-,-,-,8.20
32,TM10082031,5107,ȘCOALA GIMNAZIALĂ UTVIN,3.30,-,-,2.50,-,-,-,-,-,-,2.90
33,TM10082698,4485,LICEUL TEORETIC GĂTAIA,6.45,-,-,3.00,-,-,-,-,-,-,4.72
34,TM10082862,5241,ȘCOALA GIMNAZIALĂ NR.12 TIMIȘOARA,Absent,-,-,Absent,-,-,-,-,-,-,Absent
35,TM10083112,4349,"LICEUL TEORETIC ""VLAD ȚEPEȘ"" TIMIȘOARA",4.95,-,-,5.00,-,-,-,-,-,-,4.97
36,TM10083228,2759,LICEUL TEORETIC GĂTAIA,7.70,-,-,6.50,-,-,-,-,-,-,7.10
37,TM10084430,1729,ȘCOALA GIMNAZIALĂ NR.27 TIMIȘOARA,8.10,-,-,8.35,-,-,-,-,-,-,8.22
38,TM10084594,4664,ȘCOALA GIMNAZIALĂ GIARMATA,5.70,-,-,3.00,-,-,-,-,-,-,4.35
39,TM10085089,4157,"ȘCOALA GIMNAZIALĂ NR.21 ""VICENȚIU BABEȘ"" TIMIȘOARA",6.50,-,-,4.00,-,-,-,-,-,-,5.25
40,TM10085860,5242,ȘCOALA GIMNAZIALĂ UTVIN,Absent,-,-,Absent,-,-,-,-,-,-,Absent
41,TM10086645,2665,ȘCOALA GIMNAZIALĂ UTVIN,7.40,-,-,7.05,-,-,-,-,-,-,7.22
42,TM10086987,4540,ȘCOALA GIMNAZIALĂ UTVIN,4.75,-,-,4.50,-,-,-,-,-,-,4.62
43,TM10087451,2842,ȘCOALA GIMNAZIALĂ UTVIN,8.35,-,-,5.60,-,-,-,-,-,-,6.97
44,TM10087997,3182,ȘCOALA GIMNAZIALĂ UTVIN,7.10,-,-,6.05,-,-,-,-,-,-,6.57
45,TM10089116,5243,ȘCOALA GIMNAZIALĂ UTVIN,Absent,-,-,Absent,-,-,-,-,-,-,Absent
46,TM10090532,1578,LICEUL TEORETIC ”WENDY KIDS” TIMIȘOARA,8.35,-,-,8.40,-,-,-,-,-,-,8.37
47,TM10090672,3834,ȘCOALA GIMNAZIALĂ PARȚA,6.70,-,-,4.70,-,-,-,-,-,-,5.70
48,TM10090945,1698,LICEUL WALDORF TIMIȘOARA,8.30,-,-,8.20,-,-,-,-,-,-,8.25
49,TM10090964,2980,ȘCOALA GIMNAZIALĂ PARȚA,8.05,-,-,5.55,-,-,-,-,-,-,6.80
50,TM10091203,2160,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,7.75,-,-,7.85,-,-,-,-,-,-,7.80
51,TM10091468,1488,"LICEUL TEOLOGIC ORTODOX ""SFÂNTUL ANTIM IVIREANUL"" TIMIȘOARA",8.35,-,-,8.55,-,-,-,-,-,-,8.45
52,TM10091599,4240,ȘCOALA GIMNAZIALĂ PARȚA,6.25,-,-,4.00,-,-,-,-,-,-,5.12
